Episode Number,Airing Year,Episode Title,Rating,Plot
,2018, 8 Out of 10 Cats Does Countdown,8.3,
Episode #16.2,2013, 8 Out of 10 Cats Does Countdown,8.2,"Jimmy Carr hosts. Sean Lock and Katherine Ryan versus Jon Richardson and Joe Wilkinson. Dr John Cooper Clarke is in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #2.2,2014, 8 Out of 10 Cats Does Countdown,8.2,"Rhod Gilbert, Miles Jupp, Sean Lock and Jon Richardson compete in this week's countdown."
Christmas Special 2014,2019, 8 Out of 10 Cats Does Countdown,8.2,"In this festive 2014 Christmas Special, Kathy Burke and Sean Lock take on Jon Richardson and David Baddiel. Alex Horne and the Horne Section join Susie in Dictionary Corner, Joe Wilkinson joins Rachel at the Board and Jimmy Carr hosts."
Episode #17.2,2019, 8 Out of 10 Cats Does Countdown,8.1,"Team captain Sean Lock, Claudia Winkleman and her kittens face team captain Jon Richardson and Henning Wehn. Nick Helm joins Susie Dent in Dictionary Corner, Rachel Riley is at the Countdown board and Jimmy Carr hosts."
Christmas Special,2017, 8 Out of 10 Cats Does Countdown,8.1,"Sean Lock and Bob Mortimer compete with Jon Richardson and his wife, comedian Lucy Beaumont. Adam Buxton, Joe Wilkinson and TV presenter (and Jon's secret crush) Anthea Turner drop in. Susie Dent, Rachel Riley and Jimmy Carr host."
Episode #12.5,2021, 8 Out of 10 Cats Does Countdown,8,"Jimmy Carr hosts. Guest Captain Joe Wilkinson and Roisin Conaty versus Jon Richardson and David Mitchell. Tom Allen is in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #21.4,2021, 8 Out of 10 Cats Does Countdown,8,"Jimmy Carr hosts. Sean Lock and Richard Ayoade versus Jon Richardson and Sara Pascoe. Nick Helm is in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #21.5,2013, 8 Out of 10 Cats Does Countdown,8,"Jimmy Carr hosts. Guest Captain Roisin Conaty and Joe Wilkinson versus Jon Richardson and Lucy Beaumont. Bec Hill is in Dictionary Corner with Susie Dent, also stars Rachel Riley."
Episode #1.1,2015, 8 Out of 10 Cats Does Countdown,8,"After two successful ""8 Out of 10 Cats"" pilot editions of ""Countdown"", the crossover series begins proper with Rob Beckett and Lee Mack facing Jon Richardson and Rhod Gilbert. Tim Key joins Susie Dent in Dictionary Corner."
